BEGIN
CREATE TABLE
INSERT 0 552
UPDATE 552
UPDATE 552
UPDATE 552
UPDATE 552
UPDATE 552
UPDATE 23
UPDATE 23
UPDATE 23
UPDATE 23
UPDATE 552
UPDATE 552
   team_name    | opponent_name  |  win  | lose  |  tie  
----------------+----------------+-------+-------+-------
 Australia      | Brazil         | 0.245 | 0.461 | 0.294
 Australia      | Cameroon       | 0.859 | 0.031 | 0.110
 Australia      | Canada         | 0.203 | 0.529 | 0.268
 Australia      | China PR       | 0.480 | 0.216 | 0.304
 Australia      | Colombia       | 0.652 | 0.124 | 0.223
 Australia      | Costa Rica     | 0.913 | 0.022 | 0.065
 Australia      | Cote d'Ivoire  | 0.979 | 0.005 | 0.016
 Australia      | Ecuador        | 0.959 | 0.008 | 0.033
 Australia      | England        | 0.254 | 0.491 | 0.255
 Australia      | France         | 0.116 | 0.686 | 0.199
 Australia      | Germany        | 0.075 | 0.786 | 0.139
 Australia      | Japan          | 0.173 | 0.594 | 0.234
 Australia      | Korea Republic | 0.448 | 0.271 | 0.282
 Australia      | Mexico         | 0.614 | 0.164 | 0.222
 Australia      | Netherlands    | 0.384 | 0.352 | 0.264
 Australia      | New Zealand    | 0.480 | 0.241 | 0.278
 Australia      | Nigeria        | 0.792 | 0.065 | 0.143
 Australia      | Norway         | 0.381 | 0.354 | 0.265
 Australia      | Spain          | 0.431 | 0.291 | 0.278
 Australia      | Sweden         | 0.236 | 0.532 | 0.231
 Australia      | Switzerland    | 0.563 | 0.229 | 0.207
 Australia      | Thailand       | 0.986 | 0.003 | 0.011
 Australia      | USA            | 0.077 | 0.777 | 0.146
 Brazil         | Australia      | 0.461 | 0.245 | 0.294
 Brazil         | Cameroon       | 0.820 | 0.024 | 0.155
 Brazil         | Canada         | 0.264 | 0.346 | 0.390
 Brazil         | China PR       | 0.485 | 0.139 | 0.376
 Brazil         | Colombia       | 0.641 | 0.084 | 0.275
 Brazil         | Costa Rica     | 0.888 | 0.019 | 0.093
 Brazil         | Cote d'Ivoire  | 0.969 | 0.005 | 0.026
 Brazil         | Ecuador        | 0.936 | 0.008 | 0.057
 Brazil         | England        | 0.325 | 0.319 | 0.355
 Brazil         | France         | 0.185 | 0.471 | 0.344
 Brazil         | Germany        | 0.148 | 0.567 | 0.285
 Brazil         | Japan          | 0.245 | 0.395 | 0.360
 Brazil         | Korea Republic | 0.477 | 0.174 | 0.349
 Brazil         | Mexico         | 0.624 | 0.109 | 0.267
 Brazil         | Netherlands    | 0.440 | 0.226 | 0.334
 Brazil         | New Zealand    | 0.502 | 0.156 | 0.343
 Brazil         | Nigeria        | 0.770 | 0.048 | 0.182
 Brazil         | Norway         | 0.436 | 0.227 | 0.337
 Brazil         | Spain          | 0.467 | 0.186 | 0.346
 Brazil         | Sweden         | 0.321 | 0.349 | 0.330
 Brazil         | Switzerland    | 0.610 | 0.148 | 0.242
 Brazil         | Thailand       | 0.976 | 0.003 | 0.021
 Brazil         | USA            | 0.148 | 0.558 | 0.294
 Cameroon       | Australia      | 0.031 | 0.859 | 0.110
 Cameroon       | Brazil         | 0.024 | 0.820 | 0.155
 Cameroon       | Canada         | 0.017 | 0.868 | 0.115
 Cameroon       | China PR       | 0.080 | 0.594 | 0.326
 Cameroon       | Colombia       | 0.132 | 0.510 | 0.358
 Cameroon       | Costa Rica     | 0.306 | 0.319 | 0.375
 Cameroon       | Cote d'Ivoire  | 0.416 | 0.285 | 0.299
 Cameroon       | Ecuador        | 0.412 | 0.203 | 0.385
 Cameroon       | England        | 0.020 | 0.873 | 0.107
 Cameroon       | France         | 0.006 | 0.942 | 0.052
 Cameroon       | Germany        | 0.003 | 0.976 | 0.021
 Cameroon       | Japan          | 0.011 | 0.911 | 0.077
