 year |               team                |             opponent              |  w  |  d  |  l  |  n   
 2001 | Scottish Premiership              | Scottish Premiership              | 190 |  98 | 190 |  508
 2001 | Scottish Premiership              | Spanish Primera División          |   1 |   0 |   1 |    2
 2001 | Spanish Primera División          | English Premier League            |   6 |   1 |   3 |   10
 2001 | Spanish Primera División          | German Bundesliga                 |   4 |   0 |   5 |    9
 2001 | Spanish Primera División          | Italian Serie A                   |   2 |   4 |   2 |    8
 2001 | Spanish Primera División          | Scottish Premiership              |   1 |   0 |   1 |    2
 2001 | Spanish Primera División          | Spanish Primera División          | 280 | 204 | 280 |  802
 2002 | Dutch Eredivisie                  | Dutch Eredivisie                  | 233 | 146 | 233 |  662
 2002 | Dutch Eredivisie                  | English Premier League            |   1 |   3 |   4 |    8
 2002 | Dutch Eredivisie                  | French Ligue 1                    |   3 |   1 |   0 |    4
 2002 | Dutch Eredivisie                  | German Bundesliga                 |   1 |   2 |   1 |    4
 2002 | Dutch Eredivisie                  | Italian Serie A                   |   1 |   3 |   4 |    8
 2002 | Dutch Eredivisie                  | Spanish Primera División          |   0 |   2 |   0 |    2
 2002 | English League Championship       | English League Championship       | 429 | 298 | 429 | 1286
 2002 | English League Championship       | English League One                |  16 |   1 |   5 |   22
 2002 | English League Championship       | English League Two                |  17 |   2 |   5 |   24
 2002 | English League Championship       | English Premier League            |  12 |   6 |  17 |   35
 2002 | English League One                | English League Championship       |   5 |   1 |  16 |   22
 2002 | English League One                | English League One                | 427 | 312 | 427 | 1230
 2002 | English League One                | English League Two                |  22 |   4 |  19 |   46
 2002 | English League One                | English Premier League            |   4 |   1 |   6 |   11
 2002 | English League Two                | English League Championship       |   5 |   2 |  17 |   24
 2002 | English League Two                | English League One                |  19 |   4 |  22 |   46
 2002 | English League Two                | English League Two                | 410 | 348 | 410 | 1288
 2002 | English League Two                | English Premier League            |   2 |   1 |   9 |   12
 2002 | English Premier League            | Dutch Eredivisie                  |   4 |   3 |   1 |    8
 2002 | English Premier League            | English League Championship       |  17 |   6 |  12 |   35
 2002 | English Premier League            | English League One                |   6 |   1 |   4 |   11
 2002 | English Premier League            | English League Two                |   9 |   1 |   2 |   12
 2002 | English Premier League            | English Premier League            | 308 | 194 | 308 |  912
 2002 | English Premier League            | French Ligue 1                    |   3 |   0 |   1 |    4
 2002 | English Premier League            | German Bundesliga                 |   5 |   1 |   2 |    8
 2002 | English Premier League            | Italian Serie A                   |   4 |   2 |   2 |    8
 2002 | English Premier League            | Scottish Premiership              |   0 |   1 |   3 |    4
 2002 | English Premier League            | Spanish Primera División          |   2 |   2 |   8 |   13
 2002 | French Ligue 1                    | Dutch Eredivisie                  |   0 |   1 |   3 |    4
 2002 | French Ligue 1                    | English Premier League            |   1 |   0 |   3 |    4
 2002 | French Ligue 1                    | French Ligue 1                    | 275 | 212 | 275 |  808
 2002 | French Ligue 1                    | German Bundesliga                 |   1 |   2 |   1 |    4
 2002 | French Ligue 1                    | Italian Serie A                   |   2 |   1 |   1 |    4
 2002 | French Ligue 1                    | Spanish Primera División          |   2 |   0 |   2 |    4
 2002 | German Bundesliga                 | Dutch Eredivisie                  |   1 |   2 |   1 |    4
 2002 | German Bundesliga                 | English Premier League            |   2 |   1 |   5 |    8
 2002 | German Bundesliga                 | French Ligue 1                    |   1 |   2 |   1 |    4
 2002 | German Bundesliga                 | German Bundesliga                 | 229 | 154 | 229 |  716
 2002 | German Bundesliga                 | Italian Serie A                   |   1 |   0 |   5 |    6
 2002 | German Bundesliga                 | Scottish Premiership              |   2 |   1 |   1 |    4
 2002 | German Bundesliga                 | Spanish Primera División          |   0 |   1 |   5 |    6
 2002 | Italian Serie A                   | Dutch Eredivisie                  |   4 |   3 |   1 |    8
 2002 | Italian Serie A                   | English Premier League            |   2 |   2 |   4 |    8
 2002 | Italian Serie A                   | French Ligue 1                    |   1 |   1 |   2 |    4
 2002 | Italian Serie A                   | German Bundesliga                 |   5 |   0 |   1 |    6
 2002 | Italian Serie A                   | Italian Serie A                   | 214 | 190 | 214 |  622
 2002 | Italian Serie A                   | Spanish Primera División          |   8 |   3 |   7 |   18
 2002 | Major League Soccer               | Major League Soccer               | 132 |  50 | 132 |  314
 2002 | Scottish Premiership              | English Premier League            |   3 |   1 |   0 |    4
 2002 | Scottish Premiership              | German Bundesliga                 |   1 |   1 |   2 |    4
 2002 | Scottish Premiership              | Scottish Premiership              | 197 | 108 | 197 |  598
 2002 | Scottish Premiership              | Spanish Primera División          |   1 |   0 |   1 |    2
 2002 | Spanish Primera División          | Dutch Eredivisie                  |   0 |   2 |   0 |    2
 2002 | Spanish Primera División          | English Premier League            |   8 |   2 |   2 |   13
 2002 | Spanish Primera División          | French Ligue 1                    |   2 |   0 |   2 |    4
 2002 | Spanish Primera División          | German Bundesliga                 |   5 |   1 |   0 |    6
 2002 | Spanish Primera División          | Italian Serie A                   |   7 |   3 |   8 |   18
 2002 | Spanish Primera División          | Scottish Premiership              |   1 |   0 |   1 |    2
 2002 | Spanish Primera División          | Spanish Primera División          | 276 | 210 | 276 |  768
 2003 | Dutch Eredivisie                  | Dutch Eredivisie                  | 232 | 144 | 232 |  630
 2003 | Dutch Eredivisie                  | English Premier League            |   0 |   1 |   3 |    4
 2003 | Dutch Eredivisie                  | French Ligue 1                    |   1 |   3 |   2 |    6
 2003 | Dutch Eredivisie                  | Italian Serie A                   |   1 |   1 |   2 |    4
 2003 | Dutch Eredivisie                  | Spanish Primera División          |   2 |   0 |   2 |    4
 2003 | English League Championship       | English League Championship       | 427 | 294 | 427 | 1260
 2003 | English League Championship       | English League One                |  12 |   6 |   6 |   24
 2003 | English League Championship       | English League Two                |  15 |   3 |   6 |   24
 2003 | English League Championship       | English Premier League            |   6 |   4 |  17 |   27
 2003 | English League One                | English League Championship       |   6 |   6 |  12 |   24
 2003 | English League One                | English League One                | 410 | 346 | 410 | 1234
 2003 | English League One                | English League Two                |  26 |   6 |  16 |   48
 2003 | English League One                | English Premier League            |   2 |   3 |   8 |   13
 2003 | English League Two                | English League Championship       |   6 |   3 |  15 |   24
 2003 | English League Two                | English League One                |  16 |   6 |  26 |   48
 2003 | English League Two                | English League Two                | 419 | 310 | 419 | 1216
 2003 | English League Two                | English Premier League            |   0 |   1 |   7 |    8
 2003 | English Premier League            | Dutch Eredivisie                  |   3 |   1 |   0 |    4
 2003 | English Premier League            | English League Championship       |  17 |   4 |   6 |   27
 2003 | English Premier League            | English League One                |   8 |   3 |   2 |   13
 2003 | English Premier League            | English League Two                |   7 |   1 |   0 |    8
 2003 | English Premier League            | English Premier League            | 303 | 232 | 303 |  886
 2003 | English Premier League            | French Ligue 1                    |   0 |   3 |   3 |    6
 2003 | English Premier League            | German Bundesliga                 |   2 |   1 |   1 |    4
 2003 | English Premier League            | Italian Serie A                   |   3 |   0 |   1 |    4
 2003 | English Premier League            | Scottish Premiership              |   2 |   0 |   0 |    2
 2003 | English Premier League            | Spanish Primera División          |   4 |   0 |   0 |    4
 2003 | French Ligue 1                    | Dutch Eredivisie                  |   2 |   3 |   1 |    6
 2003 | French Ligue 1                    | English Premier League            |   3 |   3 |   0 |    6
 2003 | French Ligue 1                    | French Ligue 1                    | 280 | 198 | 280 |  872
 2003 | French Ligue 1                    | German Bundesliga                 |   2 |   2 |   0 |    4
 2003 | French Ligue 1                    | Italian Serie A                   |   2 |   2 |   0 |    4
 2003 | French Ligue 1                    | Scottish Premiership              |   2 |   0 |   2 |    4
 2003 | French Ligue 1                    | Spanish Primera División          |   4 |   0 |   7 |   11
 2003 | German Bundesliga                 | English Premier League            |   1 |   1 |   2 |    4
 2003 | German Bundesliga                 | French Ligue 1                    |   0 |   2 |   2 |    4
 2003 | German Bundesliga                 | German Bundesliga                 | 234 | 144 | 234 |  712
 2003 | German Bundesliga                 | Scottish Premiership              |   2 |   1 |   1 |    4
 2003 | German Bundesliga                 | Spanish Primera División          |   0 |   1 |   1 |    2
 2003 | Italian Serie A                   | Dutch Eredivisie                  |   2 |   1 |   1 |    4
 2003 | Italian Serie A                   | English Premier League            |   1 |   0 |   3 |    4
 2003 | Italian Serie A                   | French Ligue 1                    |   0 |   2 |   2 |    4
 2003 | Italian Serie A                   | Italian Serie A                   | 215 | 182 | 215 |  616
 2003 | Italian Serie A                   | Scottish Premiership              |   2 |   0 |   0 |    2
 2003 | Italian Serie A                   | Spanish Primera División          |   3 |   2 |   5 |   10
 2003 | Major League Soccer               | Major League Soccer               | 119 |  86 | 119 |  324
 2003 | Scottish Premiership              | English Premier League            |   0 |   0 |   2 |    2
 2003 | Scottish Premiership              | French Ligue 1                    |   2 |   0 |   2 |    4
 2003 | Scottish Premiership              | German Bundesliga                 |   1 |   1 |   2 |    4
 2003 | Scottish Premiership              | Italian Serie A                   |   0 |   0 |   2 |    2
 2003 | Scottish Premiership              | Scottish Premiership              | 191 | 114 | 191 |  514
 2003 | Scottish Premiership              | Spanish Primera División          |   1 |   2 |   1 |    4
 2003 | Spanish Primera División          | Dutch Eredivisie                  |   2 |   0 |   2 |    4
 2003 | Spanish Primera División          | English Premier League            |   0 |   0 |   4 |    4
 2003 | Spanish Primera División          | French Ligue 1                    |   7 |   0 |   4 |   11
 2003 | Spanish Primera División          | German Bundesliga                 |   1 |   1 |   0 |    2
 2003 | Spanish Primera División          | Italian Serie A                   |   5 |   2 |   3 |   10
 2003 | Spanish Primera División          | Scottish Premiership              |   1 |   2 |   1 |    4
 2003 | Spanish Primera División          | Spanish Primera División          | 286 | 192 | 286 |  774
 2004 | Dutch Eredivisie                  | Dutch Eredivisie                  | 247 | 118 | 247 |  626
 2004 | Dutch Eredivisie                  | English Premier League            |   0 |   1 |   3 |    4
 2004 | Dutch Eredivisie                  | French Ligue 1                    |   5 |   1 |   1 |    7
 2004 | Dutch Eredivisie                  | German Bundesliga                 |   2 |   1 |   1 |    4
 2004 | Dutch Eredivisie                  | Italian Serie A                   |   1 |   0 |   3 |    4
 2004 | Dutch Eredivisie                  | Scottish Premiership              |   2 |   0 |   0 |    2
 2004 | Dutch Eredivisie                  | Spanish Primera División          |   1 |   1 |   1 |    3
 2004 | English League Championship       | English League Championship       | 401 | 340 | 401 | 1206
 2004 | English League Championship       | English League One                |  14 |   2 |   2 |   18
 2004 | English League Championship       | English League Two                |  11 |   2 |   6 |   21
 2004 | English League Championship       | English Premier League            |   8 |   7 |  28 |   47
 2004 | English League One                | English League Championship       |   2 |   2 |  14 |   18
 2004 | English League One                | English League One                | 430 | 310 | 430 | 1242
 2004 | English League One                | English League Two                |  25 |   6 |  15 |   47
 2004 | English League One                | English Premier League            |   2 |   3 |   8 |   14
 2004 | English League Two                | English League Championship       |   6 |   2 |  11 |   21
 2004 | English League Two                | English League One                |  15 |   6 |  25 |   47
 2004 | English League Two                | English League Two                | 408 | 336 | 408 | 1196
 2004 | English League Two                | English Premier League            |   0 |   0 |  11 |   11
 2004 | English Premier League            | Dutch Eredivisie                  |   3 |   1 |   0 |    4
 2004 | English Premier League            | English League Championship       |  28 |   7 |   8 |   47
 2004 | English Premier League            | English League One                |   8 |   3 |   2 |   14
 2004 | English Premier League            | English League Two                |  11 |   0 |   0 |   11
 2004 | English Premier League            | English Premier League            | 297 | 230 | 297 |  942
 2004 | English Premier League            | French Ligue 1                    |   4 |   2 |   1 |    7
 2004 | English Premier League            | German Bundesliga                 |   4 |   0 |   2 |    6
 2004 | English Premier League            | Italian Serie A                   |   2 |   2 |   2 |    6
 2004 | English Premier League            | Spanish Primera División          |   2 |   1 |   2 |    5
 2004 | French Ligue 1                    | Dutch Eredivisie                  |   1 |   1 |   5 |    7
 2004 | French Ligue 1                    | English Premier League            |   1 |   2 |   4 |    7
 2004 | French Ligue 1                    | French Ligue 1                    | 249 | 266 | 249 |  818
 2004 | French Ligue 1                    | German Bundesliga                 |   2 |   0 |   0 |    2
 2004 | French Ligue 1                    | Scottish Premiership              |   1 |   0 |   0 |    1
 2004 | French Ligue 1                    | Spanish Primera División          |   3 |   0 |   0 |    3
 2004 | German Bundesliga                 | Dutch Eredivisie                  |   1 |   1 |   2 |    4
 2004 | German Bundesliga                 | English Premier League            |   2 |   0 |   4 |    6
 2004 | German Bundesliga                 | French Ligue 1                    |   0 |   0 |   2 |    2
 2004 | German Bundesliga                 | German Bundesliga                 | 241 | 130 | 241 |  624
 2004 | German Bundesliga                 | Italian Serie A                   |   1 |   3 |   4 |    8
 2004 | German Bundesliga                 | Scottish Premiership              |   1 |   0 |   0 |    1
 2004 | German Bundesliga                 | Spanish Primera División          |   3 |   1 |   0 |    4
 2004 | Italian Serie A                   | Dutch Eredivisie                  |   3 |   0 |   1 |    4
 2004 | Italian Serie A                   | English Premier League            |   2 |   2 |   2 |    6
 2004 | Italian Serie A                   | German Bundesliga                 |   4 |   3 |   1 |    8
 2004 | Italian Serie A                   | Italian Serie A                   | 260 | 250 | 260 |  816
 2004 | Italian Serie A                   | Scottish Premiership              |   1 |   1 |   0 |    2
 2004 | Italian Serie A                   | Spanish Primera División          |   4 |   3 |   5 |   12
 2004 | Major League Soccer               | Major League Soccer               | 118 |  96 | 118 |  338
 2004 | Scottish Premiership              | Dutch Eredivisie                  |   0 |   0 |   2 |    2
 2004 | Scottish Premiership              | French Ligue 1                    |   0 |   0 |   1 |    1
 2004 | Scottish Premiership              | German Bundesliga                 |   0 |   0 |   1 |    1
 2004 | Scottish Premiership              | Italian Serie A                   |   0 |   1 |   1 |    2
 2004 | Scottish Premiership              | Scottish Premiership              | 202 |  98 | 202 |  614
 2004 | Scottish Premiership              | Spanish Primera División          |   0 |   1 |   1 |    2
 2004 | Spanish Primera División          | Dutch Eredivisie                  |   1 |   1 |   1 |    3
 2004 | Spanish Primera División          | English Premier League            |   2 |   1 |   2 |    5
 2004 | Spanish Primera División          | French Ligue 1                    |   0 |   0 |   3 |    3
 2004 | Spanish Primera División          | German Bundesliga                 |   0 |   1 |   3 |    4
 2004 | Spanish Primera División          | Italian Serie A                   |   5 |   3 |   4 |   12
 2004 | Spanish Primera División          | Scottish Premiership              |   1 |   1 |   0 |    2
 2004 | Spanish Primera División          | Spanish Primera División          | 281 | 204 | 281 |  776
 2005 | Australian A-League               | Australian A-League               |  68 |  44 |  68 |  180
 2005 | Dutch Eredivisie                  | Dutch Eredivisie                  | 262 | 128 | 262 |  700
 2005 | Dutch Eredivisie                  | English Premier League            |   0 |   2 |   1 |    3
 2005 | Dutch Eredivisie                  | French Ligue 1                    |   0 |   0 |   5 |    5
 2005 | Dutch Eredivisie                  | German Bundesliga                 |   1 |   0 |   1 |    2
 2005 | Dutch Eredivisie                  | Italian Serie A                   |   1 |   2 |   1 |    5
 2005 | Dutch Eredivisie                  | Spanish Primera División          |   1 |   1 |   2 |    4
 2005 | English League Championship       | English League Championship       | 394 | 352 | 394 | 1222
 2005 | English League Championship       | English League One                |  12 |   1 |   4 |   17
 2005 | English League Championship       | English League Two                |  14 |   2 |   6 |   22
 2005 | English League Championship       | English Premier League            |   3 |   7 |  23 |   35
 2005 | English League One                | English League Championship       |   4 |   1 |  12 |   17
 2005 | English League One                | English League One                | 400 | 358 | 400 | 1264
 2005 | English League One                | English League Two                |  26 |  11 |  18 |   56
 2005 | English League One                | English Premier League            |   3 |   2 |  10 |   15
 2005 | English League Two                | English League Championship       |   6 |   2 |  14 |   22
 2005 | English League Two                | English League One                |  18 |  11 |  26 |   56
 2005 | English League Two                | English League Two                | 393 | 362 | 393 | 1252
 2005 | English League Two                | English Premier League            |   2 |   1 |   9 |   13
 2005 | English Premier League            | Dutch Eredivisie                  |   1 |   2 |   0 |    3
 2005 | English Premier League            | English League Championship       |  23 |   7 |   3 |   35
 2005 | English Premier League            | English League One                |  10 |   2 |   3 |   15
 2005 | English Premier League            | English League Two                |   9 |   1 |   2 |   13
 2005 | English Premier League            | English Premier League            | 333 | 172 | 333 | 1074
 2005 | English Premier League            | French Ligue 1                    |   0 |   2 |   2 |    4
 2005 | English Premier League            | German Bundesliga                 |   1 |   0 |   1 |    2
 2005 | English Premier League            | Italian Serie A                   |   2 |   1 |   1 |    4
 2005 | English Premier League            | Spanish Primera División          |   4 |   7 |   8 |   19
 2005 | French Ligue 1                    | Dutch Eredivisie                  |   5 |   0 |   0 |    5
 2005 | French Ligue 1                    | English Premier League            |   2 |   2 |   0 |    4
 2005 | French Ligue 1                    | French Ligue 1                    | 262 | 238 | 262 |  984
 2005 | French Ligue 1                    | German Bundesliga                 |   2 |   2 |   1 |    5
 2005 | French Ligue 1                    | Italian Serie A                   |   3 |   3 |   2 |    8
 2005 | French Ligue 1                    | Spanish Primera División          |   4 |   4 |   4 |   12
 2005 | German Bundesliga                 | Dutch Eredivisie                  |   1 |   0 |   1 |    2
 2005 | German Bundesliga                 | English Premier League            |   1 |   0 |   1 |    2
 2005 | German Bundesliga                 | French Ligue 1                    |   1 |   2 |   2 |    5
 2005 | German Bundesliga                 | German Bundesliga                 | 210 | 192 | 210 |  734
 2005 | German Bundesliga                 | Italian Serie A                   |   4 |   4 |   5 |   13
 2005 | German Bundesliga                 | Spanish Primera División          |   3 |   3 |   4 |   10
 2005 | Italian Serie A                   | Dutch Eredivisie                  |   1 |   2 |   1 |    5
 2005 | Italian Serie A                   | English Premier League            |   1 |   1 |   2 |    4
 2005 | Italian Serie A                   | French Ligue 1                    |   2 |   3 |   3 |    8
 2005 | Italian Serie A                   | German Bundesliga                 |   5 |   4 |   4 |   13
 2005 | Italian Serie A                   | Italian Serie A                   | 272 | 218 | 272 |  806
 2005 | Italian Serie A                   | Scottish Premiership              |   1 |   1 |   0 |    2
 2005 | Italian Serie A                   | Spanish Primera División          |   1 |   2 |   4 |    7
 2005 | Major League Soccer               | Major League Soccer               | 160 |  98 | 160 |  422
 2005 | Scottish Premiership              | Italian Serie A                   |   0 |   1 |   1 |    2
 2005 | Scottish Premiership              | Scottish Premiership              | 187 | 114 | 187 |  560
 2005 | Scottish Premiership              | Spanish Primera División          |   0 |   2 |   0 |    2
 2005 | Spanish Primera División          | Dutch Eredivisie                  |   2 |   1 |   1 |    4
 2005 | Spanish Primera División          | English Premier League            |   8 |   7 |   4 |   19
 2005 | Spanish Primera División          | French Ligue 1                    |   4 |   4 |   4 |   12
 2005 | Spanish Primera División          | German Bundesliga                 |   4 |   3 |   3 |   10
 2005 | Spanish Primera División          | Italian Serie A                   |   4 |   2 |   1 |    7
 2005 | Spanish Primera División          | Scottish Premiership              |   0 |   2 |   0 |    2
 2005 | Spanish Primera División          | Spanish Primera División          | 275 | 210 | 275 |  760
 2006 | Australian A-League               | Australian A-League               |  68 |  44 |  68 |  180
 2006 | Austrian Bundesliga               | Austrian Bundesliga               | 132 |  88 | 132 |  360
 2006 | Austrian Bundesliga               | Dutch Eredivisie                  |   0 |   0 |   1 |    1
 2006 | Austrian Bundesliga               | English Premier League            |   0 |   1 |   1 |    2
 2006 | Austrian Bundesliga               | Italian Serie A                   |   0 |   0 |   2 |    2
 2006 | Austrian Bundesliga               | Portuguese Liga                   |   0 |   1 |   1 |    2
 2006 | Austrian Bundesliga               | Spanish Primera División          |   1 |   0 |   2 |    3
 2006 | Austrian Bundesliga               | Swiss Super League                |   1 |   1 |   2 |    4
 2006 | Danish SAS-Ligaen                 | Danish SAS-Ligaen                 | 150 |  96 | 150 |  396
 2006 | Danish SAS-Ligaen                 | Dutch Eredivisie                  |   2 |   0 |   1 |    3
 2006 | Danish SAS-Ligaen                 | English Premier League            |   1 |   0 |   1 |    2
 2006 | Danish SAS-Ligaen                 | French Ligue 1                    |   0 |   1 |   0 |    1
 2006 | Danish SAS-Ligaen                 | German Bundesliga                 |   1 |   2 |   1 |    4
 2006 | Danish SAS-Ligaen                 | Italian Serie A                   |   0 |   0 |   2 |    2
 2006 | Danish SAS-Ligaen                 | Portuguese Liga                   |   0 |   1 |   1 |    2
 2006 | Danish SAS-Ligaen                 | Scottish Premiership              |   2 |   0 |   2 |    4
 2006 | Danish SAS-Ligaen                 | Spanish Primera División          |   0 |   0 |   1 |    1
 2006 | Danish SAS-Ligaen                 | Turkish Super Lig                 |   0 |   0 |   2 |    2
 2006 | Dutch Eredivisie                  | Austrian Bundesliga               |   1 |   0 |   0 |    1
 2006 | Dutch Eredivisie                  | Danish SAS-Ligaen                 |   1 |   0 |   2 |    3
 2006 | Dutch Eredivisie                  | Dutch Eredivisie                  | 261 | 154 | 261 |  694
 2006 | Dutch Eredivisie                  | English Premier League            |   2 |   3 |   4 |    9
 2006 | Dutch Eredivisie                  | French Ligue 1                    |   2 |   0 |   2 |    4
 2006 | Dutch Eredivisie                  | German Bundesliga                 |   1 |   1 |   2 |    4
 2006 | Dutch Eredivisie                  | Italian Serie A                   |   0 |   0 |   1 |    1
 2006 | Dutch Eredivisie                  | Portuguese Liga                   |   2 |   1 |   0 |    3
 2006 | Dutch Eredivisie                  | Spanish Primera División          |   1 |   1 |   1 |    3
 2006 | Dutch Eredivisie                  | Swiss Super League                |   1 |   1 |   0 |    2
 2006 | Dutch Eredivisie                  | Turkish Super Lig                 |   3 |   3 |   0 |    6
 2006 | English League Championship       | English League Championship       | 442 | 250 | 442 | 1156
 2006 | English League Championship       | English League One                |  14 |   7 |   3 |   24
 2006 | English League Championship       | English League Two                |  15 |   5 |  12 |   33
 2006 | English League Championship       | English Premier League            |   3 |   7 |  20 |   31
 2006 | English League One                | English League Championship       |   3 |   7 |  14 |   24
 2006 | English League One                | English League One                | 439 | 294 | 439 | 1208
 2006 | English League One                | English League Two                |  19 |  12 |  17 |   49
 2006 | English League One                | English Premier League            |   5 |   3 |   7 |   15
 2006 | English League Two                | English League Championship       |  12 |   5 |  15 |   33
 2006 | English League Two                | English League One                |  17 |  12 |  19 |   49
 2006 | English League Two                | English League Two                | 433 | 302 | 433 | 1212
 2006 | English League Two                | English Premier League            |   3 |   3 |   8 |   14
 2006 | English Premier League            | Austrian Bundesliga               |   1 |   1 |   0 |    2
 2006 | English Premier League            | Danish SAS-Ligaen                 |   1 |   0 |   1 |    2
 2006 | English Premier League            | Dutch Eredivisie                  |   4 |   3 |   2 |    9
 2006 | English Premier League            | English League Championship       |  20 |   7 |   3 |   31
 2006 | English Premier League            | English League One                |   7 |   3 |   5 |   15
 2006 | English Premier League            | English League Two                |   8 |   3 |   3 |   14
 2006 | English Premier League            | English Premier League            | 311 | 212 | 311 |  854
 2006 | English Premier League            | French Ligue 1                    |   5 |   0 |   0 |    5
 2006 | English Premier League            | German Bundesliga                 |   4 |   2 |   2 |    8
 2006 | English Premier League            | Italian Serie A                   |   3 |   0 |   5 |    8
 2006 | English Premier League            | Portuguese Liga                   |   6 |   2 |   0 |    8
 2006 | English Premier League            | Russian Premier League            |   0 |   1 |   1 |    2
 2006 | English Premier League            | Scottish Premiership              |   1 |   0 |   1 |    2
 2006 | English Premier League            | Spanish Primera División          |   4 |   3 |   2 |    9
 2006 | English Premier League            | Swiss Super League                |   1 |   0 |   0 |    1
 2006 | English Premier League            | Turkish Super Lig                 |   3 |   0 |   1 |    4
 2006 | French Ligue 1                    | Danish SAS-Ligaen                 |   0 |   1 |   0 |    1
 2006 | French Ligue 1                    | Dutch Eredivisie                  |   2 |   0 |   2 |    4
 2006 | French Ligue 1                    | English Premier League            |   0 |   0 |   5 |    5
 2006 | French Ligue 1                    | French Ligue 1                    | 286 | 246 | 286 |  826
 2006 | French Ligue 1                    | French Ligue 2                    |  14 |   4 |   2 |   20
 2006 | French Ligue 1                    | German Bundesliga                 |   2 |   0 |   2 |    4
 2006 | French Ligue 1                    | Greek Super League                |   5 |   1 |   1 |    7
 2006 | French Ligue 1                    | Italian Serie A                   |   1 |   2 |   3 |    6
 2006 | French Ligue 1                    | Portuguese Liga                   |   1 |   0 |   1 |    2
 2006 | French Ligue 1                    | Scottish Premiership              |   0 |   1 |   0 |    1
 2006 | French Ligue 1                    | Spanish Primera División          |   2 |   2 |   1 |    5
 2006 | French Ligue 1                    | Swiss Super League                |   0 |   3 |   0 |    3
 2006 | French Ligue 1                    | Turkish Super Lig                 |   1 |   1 |   0 |    2
 2006 | French Ligue 2                    | French Ligue 1                    |   2 |   4 |  14 |   20
 2006 | French Ligue 2                    | French Ligue 2                    | 253 | 198 | 253 |  746
 2006 | German 2. Bundesliga              | German 2. Bundesliga              | 223 | 172 | 223 |  644
 2006 | German 2. Bundesliga              | German Bundesliga                 |   3 |   2 |  10 |   15
 2006 | German Bundesliga                 | Danish SAS-Ligaen                 |   1 |   2 |   1 |    4
