        team         | p | w | d | l | gf | ga | gd | pts | champ |  1-4  |  5-7  |  rlg  
---------------------+---+---+---+---+----+----+----+-----+-------+-------+-------+-------
 Paris Saint-Germain | 5 | 3 | 1 | 1 | 12 |  4 |  8 |  10 | 0.252 | 0.649 | 0.180 | 0.005
 AS Monaco           | 4 | 3 | 1 | 0 | 10 |  4 |  6 |  10 | 0.248 | 0.637 | 0.182 | 0.006
 Nice                | 4 | 3 | 1 | 0 |  6 |  3 |  3 |  10 | 0.044 | 0.229 | 0.206 | 0.058
 Metz                | 4 | 3 | 0 | 1 |  8 |  5 |  3 |   9 | 0.096 | 0.377 | 0.222 | 0.025
 Bordeaux            | 4 | 3 | 0 | 1 |  8 |  7 |  1 |   9 | 0.066 | 0.306 | 0.224 | 0.039
 Guingamp            | 4 | 2 | 2 | 0 |  7 |  4 |  3 |   8 | 0.074 | 0.337 | 0.219 | 0.031
 Stade Rennes        | 4 | 2 | 1 | 1 |  5 |  2 |  3 |   7 | 0.019 | 0.137 | 0.156 | 0.118
 Lyon                | 4 | 2 | 0 | 2 |  8 |  7 |  1 |   6 | 0.045 | 0.230 | 0.200 | 0.061
 Bastia              | 4 | 2 | 0 | 2 |  5 |  4 |  1 |   6 | 0.022 | 0.148 | 0.168 | 0.103
 Caen                | 5 | 2 | 0 | 3 |  5 | 12 | -7 |   6 | 0.010 | 0.088 | 0.136 | 0.163
 Toulouse            | 4 | 1 | 2 | 1 |  5 |  3 |  2 |   5 | 0.051 | 0.260 | 0.205 | 0.053
 St Etienne          | 4 | 1 | 2 | 1 |  6 |  5 |  1 |   5 | 0.014 | 0.106 | 0.142 | 0.149
 Montpellier         | 4 | 1 | 2 | 1 |  4 |  5 | -1 |   5 | 0.016 | 0.120 | 0.154 | 0.129
 Marseille           | 4 | 1 | 1 | 2 |  5 |  5 |  0 |   4 | 0.012 | 0.092 | 0.126 | 0.178
 Lille               | 4 | 1 | 1 | 2 |  5 |  8 | -3 |   4 | 0.012 | 0.090 | 0.134 | 0.166
 Dijon FCO           | 4 | 1 | 0 | 3 |  5 |  7 | -2 |   3 | 0.008 | 0.068 | 0.107 | 0.213
 Angers              | 4 | 1 | 0 | 3 |  3 |  5 | -2 |   3 | 0.007 | 0.071 | 0.111 | 0.210
 Nantes              | 4 | 1 | 0 | 3 |  1 |  5 | -4 |   3 | 0.002 | 0.021 | 0.043 | 0.415
 AS Nancy Lorraine   | 4 | 1 | 0 | 3 |  2 |  7 | -5 |   3 | 0.003 | 0.024 | 0.054 | 0.384
 Lorient             | 4 | 0 | 0 | 4 |  2 | 10 | -8 |   0 | 0.001 | 0.013 | 0.034 | 0.494
(20 rows)

