     team     | p  | w  | d  | l  | gf | ga | gd  | pts | champ |  1-4  |  5-7  |  rlg  
--------------+----+----+----+----+----+----+-----+-----+-------+-------+-------+-------
 Palmeiras    | 25 | 14 |  6 |  5 | 43 | 24 |  19 |  48 | 0.443 | 0.918 | 0.077 | 0.000
 Flamengo     | 25 | 14 |  5 |  6 | 33 | 25 |   8 |  47 | 0.177 | 0.761 | 0.211 | 0.000
 Atlético MG  | 25 | 13 |  6 |  6 | 40 | 34 |   6 |  45 | 0.190 | 0.768 | 0.203 | 0.000
 Santos FC    | 25 | 13 |  3 |  9 | 40 | 23 |  17 |  42 | 0.116 | 0.670 | 0.281 | 0.000
 Corinthians  | 25 | 12 |  5 |  8 | 35 | 24 |  11 |  41 | 0.058 | 0.485 | 0.410 | 0.000
 Ponte Preta  | 25 | 11 |  5 |  9 | 34 | 36 |  -2 |  38 | 0.000 | 0.000 | 0.000 | 0.025
 Fluminense   | 25 | 10 |  7 |  8 | 30 | 27 |   3 |  37 | 0.000 | 0.000 | 0.000 | 0.179
 Gremio       | 25 | 10 |  7 |  8 | 32 | 31 |   1 |  37 | 0.009 | 0.188 | 0.478 | 0.000
 Chapecoense  | 25 |  9 | 10 |  6 | 36 | 40 |  -4 |  37 | 0.000 | 0.000 | 0.000 | 0.535
 Paranaense   | 25 | 11 |  3 | 11 | 23 | 23 |   0 |  36 | 0.000 | 0.000 | 0.000 | 0.803
 Botafogo     | 25 | 10 |  5 | 10 | 32 | 32 |   0 |  35 | 0.004 | 0.084 | 0.357 | 0.000
 São Paulo    | 25 |  9 |  7 |  9 | 27 | 25 |   2 |  34 | 0.001 | 0.041 | 0.247 | 0.000
 Coritiba FBC | 25 |  7 |  9 |  9 | 30 | 31 |  -1 |  30 | 0.000 | 0.020 | 0.184 | 0.000
 Sport        | 25 |  8 |  6 | 11 | 36 | 40 |  -4 |  30 | 0.001 | 0.032 | 0.236 | 0.000
 EC Vitória   | 25 |  7 |  8 | 10 | 32 | 37 |  -5 |  29 | 0.000 | 0.013 | 0.155 | 0.000
 Cruzeiro     | 25 |  8 |  5 | 12 | 32 | 38 |  -6 |  29 | 0.001 | 0.021 | 0.160 | 0.000
 Figueirense  | 25 |  6 | 10 |  9 | 24 | 32 |  -8 |  28 | 0.000 | 0.000 | 0.000 | 0.005
 Int'nacional | 25 |  7 |  6 | 12 | 26 | 30 |  -4 |  27 | 0.000 | 0.000 | 0.000 | 0.000
 Santa Cruz F | 25 |  6 |  5 | 14 | 28 | 38 | -10 |  23 | 0.000 | 0.000 | 0.000 | 0.000
 América Mine | 25 |  3 |  6 | 16 | 17 | 40 | -23 |  15 | 0.000 | 0.000 | 0.000 | 0.000
(20 rows)

