     team     | p  | w  | d  | l  | gf | ga | gd  | pts | champ |  1-4  |  5-7  |  rlg  
--------------+----+----+----+----+----+----+-----+-----+-------+-------+-------+-------
 Kawasaki     | 28 | 19 |  6 |  3 | 58 | 28 |  30 |  63 | 0.898 | 1.000 | 0.000 | 0.000
 Urawa Reds   | 28 | 18 |  4 |  6 | 47 | 25 |  22 |  58 | 0.091 | 0.999 | 0.001 | 0.000
 Kashima      | 28 | 16 |  5 |  7 | 46 | 27 |  19 |  53 | 0.011 | 0.975 | 0.025 | 0.000
 Gamba Osaka  | 28 | 14 |  5 |  9 | 39 | 29 |  10 |  47 | 0.000 | 0.255 | 0.603 | 0.000
 Sanfreece    | 28 | 13 |  7 |  8 | 50 | 31 |  19 |  46 | 0.000 | 0.305 | 0.583 | 0.000
 Kashiwa Reys | 28 | 13 |  7 |  8 | 43 | 38 |   5 |  46 | 0.000 | 0.347 | 0.537 | 0.000
 Omiya Ardija | 28 | 11 | 10 |  7 | 29 | 28 |   1 |  43 | 0.000 | 0.036 | 0.376 | 0.000
 Yokohama FC  | 28 | 11 |  9 |  8 | 39 | 29 |  10 |  42 | 0.000 | 0.028 | 0.337 | 0.000
 Vissel Kobe  | 28 | 12 |  6 | 10 | 44 | 38 |   6 |  42 | 0.000 | 0.051 | 0.410 | 0.000
 FC Tokyo     | 28 | 11 |  6 | 11 | 30 | 32 |  -2 |  39 | 0.000 | 0.003 | 0.082 | 0.000
 Sagan Tosu   | 28 | 10 |  8 | 10 | 25 | 26 |  -1 |  38 | 0.000 | 0.000 | 0.036 | 0.000
 Vegalta Send | 28 | 11 |  3 | 14 | 31 | 41 | -10 |  36 | 0.000 | 0.000 | 0.011 | 0.000
 Jubilo Iwata | 28 |  7 | 10 | 11 | 34 | 43 |  -9 |  31 | 0.000 | 0.000 | 0.000 | 0.000
 Albirex      | 28 |  7 |  6 | 15 | 28 | 37 |  -9 |  27 | 0.000 | 0.000 | 0.000 | 0.000
 V Kofu       | 28 |  6 |  9 | 13 | 29 | 49 | -20 |  27 | 0.000 | 0.000 | 0.000 | 0.001
 Nagoya       | 28 |  5 |  8 | 15 | 28 | 47 | -19 |  23 | 0.000 | 0.000 | 0.000 | 0.018
 Shonan Bellm | 28 |  5 |  4 | 19 | 24 | 50 | -26 |  19 | 0.000 | 0.000 | 0.000 | 0.245
 A Fukuoka    | 28 |  3 |  7 | 18 | 21 | 47 | -26 |  16 | 0.000 | 0.000 | 0.000 | 0.736
(18 rows)

