    team     | p | w | d | l | gf | ga | gd | pts | champ |  1-4  |  5-7  |  rlg  
-------------+---+---+---+---+----+----+----+-----+-------+-------+-------+-------
 Man City    | 4 | 4 | 0 | 0 | 11 |  4 |  7 |  12 | 0.254 | 0.662 | 0.187 | 0.003
 Everton     | 4 | 3 | 1 | 0 |  7 |  2 |  5 |  10 | 0.056 | 0.301 | 0.251 | 0.023
 Chelsea     | 5 | 3 | 1 | 1 | 10 |  6 |  4 |  10 | 0.093 | 0.399 | 0.262 | 0.014
 Liverpool   | 5 | 3 | 1 | 1 | 11 |  8 |  3 |  10 | 0.177 | 0.567 | 0.215 | 0.006
 Man Utd     | 4 | 3 | 0 | 1 |  7 |  3 |  4 |   9 | 0.063 | 0.321 | 0.253 | 0.018
 Tottenham   | 4 | 2 | 2 | 0 |  7 |  2 |  5 |   8 | 0.082 | 0.373 | 0.259 | 0.017
 Arsenal     | 4 | 2 | 1 | 1 |  8 |  6 |  2 |   7 | 0.187 | 0.578 | 0.224 | 0.005
 Hull        | 4 | 2 | 1 | 1 |  5 |  3 |  2 |   7 | 0.014 | 0.120 | 0.166 | 0.095
 Boro        | 4 | 1 | 2 | 1 |  4 |  4 |  0 |   5 | 0.016 | 0.135 | 0.177 | 0.085
 Watford     | 4 | 1 | 1 | 2 |  7 |  8 | -1 |   4 | 0.003 | 0.039 | 0.091 | 0.238
 C Palace    | 4 | 1 | 1 | 2 |  3 |  4 | -1 |   4 | 0.003 | 0.036 | 0.083 | 0.256
 West Brom   | 4 | 1 | 1 | 2 |  2 |  3 | -1 |   4 | 0.003 | 0.035 | 0.079 | 0.253
 Swansea     | 4 | 1 | 1 | 2 |  4 |  6 | -2 |   4 | 0.030 | 0.186 | 0.211 | 0.059
 Bournemouth | 4 | 1 | 1 | 2 |  3 |  5 | -2 |   4 | 0.003 | 0.029 | 0.072 | 0.269
 Burnley     | 4 | 1 | 1 | 2 |  3 |  5 | -2 |   4 | 0.003 | 0.035 | 0.073 | 0.264
 Leicester   | 4 | 1 | 1 | 2 |  4 |  7 | -3 |   4 | 0.006 | 0.062 | 0.118 | 0.169
 West Ham    | 4 | 1 | 0 | 3 |  5 |  9 | -4 |   3 | 0.005 | 0.052 | 0.100 | 0.208
 Southampton | 4 | 0 | 2 | 2 |  3 |  6 | -3 |   2 | 0.002 | 0.031 | 0.079 | 0.277
 Sunderland  | 4 | 0 | 1 | 3 |  3 |  8 | -5 |   1 | 0.002 | 0.022 | 0.053 | 0.358
 Stoke       | 4 | 0 | 1 | 3 |  2 | 10 | -8 |   1 | 0.001 | 0.017 | 0.047 | 0.383
(20 rows)

