      team      | p | w | d | l | gf | ga | gd | pts | champ |  1-4  |  5-7  |  rlg  
----------------+---+---+---+---+----+----+----+-----+-------+-------+-------+-------
 Stade de Reims | 7 | 3 | 4 | 0 |  8 |  4 |  4 |  13 | 0.320 | 0.767 | 0.188 | 0.000
 Brest          | 6 | 3 | 2 | 1 | 10 |  7 |  3 |  11 | 0.150 | 0.578 | 0.302 | 0.000
 Sochaux        | 7 | 2 | 5 | 0 |  8 |  5 |  3 |  11 | 0.057 | 0.369 | 0.402 | 0.000
 Valenciennes   | 7 | 2 | 4 | 1 |  9 |  6 |  3 |  10 | 0.069 | 0.410 | 0.380 | 0.000
 GFC Ajaccio    | 6 | 2 | 3 | 1 |  5 |  5 |  0 |   9 | 0.054 | 0.351 | 0.378 | 0.000
 Lens           | 7 | 1 | 5 | 1 |  7 |  6 |  1 |   8 | 0.193 | 0.602 | 0.278 | 0.000
 AC Ajaccio     | 7 | 2 | 2 | 3 |  8 |  9 | -1 |   8 | 0.085 | 0.405 | 0.348 | 0.000
 Troyes         | 7 | 2 | 2 | 3 |  8 | 10 | -2 |   8 | 0.041 | 0.295 | 0.378 | 0.000
 AJ Auxerre     | 6 | 1 | 3 | 2 |  5 |  5 |  0 |   6 | 0.033 | 0.226 | 0.347 | 0.000
 Niort          | 7 | 0 | 4 | 0 | 11 |  8 |  3 |   4 | 0.000 | 0.000 | 0.000 | 0.000
 Tours          | 7 | 0 | 3 | 0 | 14 |  9 |  5 |   3 | 0.000 | 0.000 | 0.000 | 0.000
 Le Havre AC    | 7 | 0 | 3 | 0 |  8 |  7 |  1 |   3 | 0.000 | 0.000 | 0.000 | 0.000
 Strasbourg     | 7 | 0 | 3 | 0 |  6 |  9 | -3 |   3 | 0.000 | 0.000 | 0.000 | 0.000
 Nimes          | 7 | 0 | 2 | 0 | 12 |  6 |  6 |   2 | 0.000 | 0.000 | 0.000 | 0.000
 Clermont Foot  | 7 | 0 | 2 | 0 |  7 |  6 |  1 |   2 | 0.000 | 0.000 | 0.000 | 0.000
 Stade Laval    | 7 | 0 | 2 | 0 |  3 |  8 | -5 |   2 | 0.000 | 0.000 | 0.000 | 0.000
 SC Amiens      | 6 | 0 | 1 | 0 |  6 |  9 | -3 |   1 | 0.000 | 0.000 | 0.000 | 0.000
(17 rows)

