    team    | p | w | d | l | gf | ga | gd | pts | champ |  1-4  |  5-7  |  rlg  
------------+---+---+---+---+----+----+----+-----+-------+-------+-------+-------
 Cologne    | 3 | 2 | 1 | 0 |  5 |  0 |  5 |   7 | 0.062 | 0.308 | 0.218 | 0.017
 Bayern     | 2 | 2 | 0 | 0 |  8 |  0 |  8 |   6 | 0.438 | 0.788 | 0.119 | 0.001
 Hertha     | 2 | 2 | 0 | 0 |  4 |  1 |  3 |   6 | 0.054 | 0.285 | 0.212 | 0.019
 Wolfsburg  | 2 | 1 | 1 | 0 |  2 |  0 |  2 |   4 | 0.031 | 0.187 | 0.182 | 0.041
 RB Leipzig | 2 | 1 | 1 | 0 |  3 |  2 |  1 |   4 | 0.048 | 0.260 | 0.211 | 0.026
 Leverkusen | 2 | 1 | 0 | 1 |  4 |  3 |  1 |   3 | 0.064 | 0.326 | 0.216 | 0.019
 Dortmund   | 2 | 1 | 0 | 1 |  2 |  2 |  0 |   3 | 0.026 | 0.167 | 0.174 | 0.043
 Frankfurt  | 2 | 1 | 0 | 1 |  1 |  1 |  0 |   3 | 0.019 | 0.133 | 0.154 | 0.063
 Gladbach   | 2 | 1 | 0 | 1 |  3 |  4 | -1 |   3 | 0.067 | 0.309 | 0.213 | 0.022
 Augsburg   | 2 | 1 | 0 | 1 |  2 |  3 | -1 |   3 | 0.022 | 0.149 | 0.166 | 0.055
 Darmstadt  | 2 | 1 | 0 | 1 |  1 |  2 | -1 |   3 | 0.017 | 0.138 | 0.151 | 0.064
 Freiburg   | 3 | 1 | 0 | 2 |  4 |  6 | -2 |   3 | 0.014 | 0.106 | 0.135 | 0.074
 Hoffenheim | 2 | 0 | 2 | 0 |  6 |  6 |  0 |   2 | 0.061 | 0.294 | 0.208 | 0.021
 Mainz      | 2 | 0 | 1 | 1 |  5 |  6 | -1 |   1 | 0.046 | 0.238 | 0.203 | 0.032
 Hamburg    | 2 | 0 | 1 | 1 |  2 |  4 | -2 |   1 | 0.012 | 0.110 | 0.131 | 0.085
 Ingolstadt | 2 | 0 | 1 | 1 |  1 |  3 | -2 |   1 | 0.006 | 0.054 | 0.093 | 0.160
 Schalke    | 2 | 0 | 0 | 2 |  0 |  3 | -3 |   0 | 0.008 | 0.090 | 0.121 | 0.105
 Bremen     | 2 | 0 | 0 | 2 |  1 |  8 | -7 |   0 | 0.006 | 0.059 | 0.095 | 0.154
(18 rows)

