         team         | p | w | d | l | gf | ga | gd | pts | champ |  1-4  |  5-7  |  rlg  
----------------------+---+---+---+---+----+----+----+-----+-------+-------+-------+-------
 Manchester City      | 4 | 4 | 0 | 0 | 11 |  4 |  7 |  12 | 0.004 | 0.062 | 0.139 | 0.037
 Chelsea              | 4 | 3 | 1 | 0 |  9 |  4 |  5 |  10 | 0.035 | 0.243 | 0.241 | 0.012
 Everton              | 4 | 3 | 1 | 0 |  7 |  2 |  5 |  10 | 0.187 | 0.573 | 0.206 | 0.003
 Manchester United    | 4 | 3 | 0 | 1 |  7 |  3 |  4 |   9 | 0.071 | 0.353 | 0.255 | 0.007
 Tottenham Hotspur    | 4 | 2 | 2 | 0 |  7 |  2 |  5 |   8 | 0.017 | 0.145 | 0.184 | 0.030
 Liverpool            | 4 | 2 | 1 | 1 |  9 |  7 |  2 |   7 | 0.342 | 0.739 | 0.147 | 0.001
 Arsenal              | 4 | 2 | 1 | 1 |  8 |  6 |  2 |   7 | 0.064 | 0.330 | 0.240 | 0.009
 Hull City            | 4 | 2 | 1 | 1 |  5 |  3 |  2 |   7 | 0.139 | 0.498 | 0.218 | 0.005
 Middlesbrough        | 4 | 1 | 2 | 1 |  4 |  4 |  0 |   5 | 0.032 | 0.194 | 0.204 | 0.031
 Watford              | 4 | 1 | 1 | 2 |  7 |  8 | -1 |   4 | 0.021 | 0.155 | 0.186 | 0.040
 Crystal Palace       | 4 | 1 | 1 | 2 |  3 |  4 | -1 |   4 | 0.007 | 0.067 | 0.113 | 0.091
 West Bromwich Albion | 4 | 1 | 1 | 2 |  2 |  3 | -1 |   4 | 0.005 | 0.064 | 0.105 | 0.106
 Swansea City         | 4 | 1 | 1 | 2 |  4 |  6 | -2 |   4 | 0.028 | 0.182 | 0.194 | 0.034
 AFC Bournemouth      | 4 | 1 | 1 | 2 |  3 |  5 | -2 |   4 | 0.007 | 0.069 | 0.121 | 0.092
 Leicester City       | 4 | 1 | 1 | 2 |  4 |  7 | -3 |   4 | 0.001 | 0.017 | 0.050 | 0.201
 West Ham United      | 4 | 1 | 0 | 3 |  5 |  9 | -4 |   3 | 0.027 | 0.179 | 0.188 | 0.036
 Southampton          | 4 | 0 | 2 | 2 |  3 |  6 | -3 |   2 | 0.011 | 0.099 | 0.143 | 0.082
 Stoke City           | 4 | 0 | 1 | 0 |  9 |  3 |  6 |   1 | 0.000 | 0.000 | 0.000 | 1.000
 Burnley              | 4 | 0 | 1 | 0 |  2 |  6 | -4 |   1 | 0.000 | 0.000 | 0.000 | 1.000
 Sunderland           | 4 | 0 | 1 | 3 |  3 |  8 | -5 |   1 | 0.002 | 0.032 | 0.068 | 0.184
(20 rows)

