     team     | p | w | d | l | gf | ga | gd | pts | champ |  1-4  |  5-7  |  rlg  
--------------+---+---+---+---+----+----+----+-----+-------+-------+-------+-------
 Huddersfield | 7 | 5 | 1 | 1 |  9 |  5 |  4 |  16 | 0.028 | 0.206 | 0.212 | 0.061
 Newcastle    | 7 | 5 | 0 | 2 | 16 |  4 | 12 |  15 | 0.328 | 0.751 | 0.151 | 0.004
 Barnsley     | 7 | 5 | 0 | 2 | 18 |  9 |  9 |  15 | 0.272 | 0.708 | 0.165 | 0.004
 Norwich      | 7 | 4 | 2 | 1 | 11 |  8 |  3 |  14 | 0.134 | 0.521 | 0.223 | 0.014
 Birmingham   | 7 | 3 | 3 | 1 |  8 |  5 |  3 |  12 | 0.006 | 0.073 | 0.133 | 0.138
 Fulham       | 7 | 3 | 3 | 1 |  8 |  6 |  2 |  12 | 0.046 | 0.286 | 0.242 | 0.041
 Brighton     | 7 | 3 | 2 | 2 |  9 |  6 |  3 |  11 | 0.049 | 0.293 | 0.231 | 0.044
 Brentford    | 7 | 3 | 2 | 2 |  8 |  5 |  3 |  11 | 0.003 | 0.046 | 0.088 | 0.174
 Ipswich      | 7 | 3 | 2 | 2 |  8 |  7 |  1 |  11 | 0.003 | 0.042 | 0.092 | 0.175
 Nottm Forest | 7 | 3 | 2 | 2 | 15 | 15 |  0 |  11 | 0.057 | 0.312 | 0.243 | 0.037
 Sheff Wed    | 7 | 3 | 2 | 2 |  8 |  9 | -1 |  11 | 0.008 | 0.087 | 0.130 | 0.130
 Reading      | 7 | 3 | 2 | 2 |  7 |  9 | -2 |  11 | 0.013 | 0.122 | 0.163 | 0.103
 Bristol City | 7 | 3 | 1 | 3 | 11 | 10 |  1 |  10 | 0.011 | 0.114 | 0.158 | 0.110
 QPR          | 7 | 3 | 1 | 3 |  9 | 12 | -3 |  10 | 0.008 | 0.090 | 0.139 | 0.131
 Burton       | 7 | 2 | 3 | 2 | 12 | 11 |  1 |   9 | 0.020 | 0.149 | 0.181 | 0.093
 Wolves       | 7 | 2 | 3 | 2 |  8 |  9 | -1 |   9 | 0.004 | 0.045 | 0.085 | 0.176
 Aston Villa  | 7 | 1 | 4 | 2 |  8 |  8 |  0 |   7 | 0.003 | 0.040 | 0.073 | 0.175
 Leeds        | 7 | 2 | 1 | 4 |  7 | 11 | -4 |   7 | 0.002 | 0.030 | 0.068 | 0.196
 Preston      | 7 | 2 | 0 | 5 |  7 |  7 |  0 |   6 | 0.003 | 0.035 | 0.074 | 0.188
 Rotherham    | 7 | 1 | 3 | 3 |  7 | 16 | -9 |   6 | 0.001 | 0.020 | 0.050 | 0.195
 Derby        | 7 | 1 | 2 | 4 |  1 |  6 | -5 |   5 | 0.000 | 0.005 | 0.016 | 0.200
 Cardiff      | 7 | 1 | 2 | 4 |  6 | 12 | -6 |   5 | 0.001 | 0.016 | 0.041 | 0.206
 Wigan        | 7 | 1 | 1 | 5 | 10 | 12 | -2 |   4 | 0.001 | 0.007 | 0.021 | 0.207
 Blackburn    | 7 | 0 | 2 | 5 |  6 | 15 | -9 |   2 | 0.000 | 0.006 | 0.021 | 0.198
(24 rows)

